Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-01-21 22:27:41;2018-01-22 07:46:55;97%;9:19;;;0;2660
2018-01-22 22:21:58;2018-01-23 07:09:34;88%;8:47;;;0;4179
2018-01-23 23:19:07;2018-01-24 08:00:42;96%;8:41;;;0;5415
2018-01-24 23:28:40;2018-01-25 00:28:02;13%;0:59;;;0;8401
2018-01-25 00:30:08;2018-01-25 07:43:37;77%;7:13;;;0;9498
2018-01-25 07:43:47;2018-01-25 08:19:31;8%;0:35;;;0;25
2018-01-25 23:23:28;2018-01-26 07:49:38;91%;8:26;;;0;8085
2018-01-27 00:24:56;2018-01-27 08:36:59;87%;8:12;;;0;6618
2018-01-28 00:56:50;2018-01-28 08:49:44;89%;7:52;;;0;22191
2018-01-28 23:06:03;2018-01-29 07:16:39;90%;8:10;;;0;14047
2018-01-29 22:39:00;2018-01-30 07:20:18;96%;8:41;;;0;5746
2018-01-31 00:14:07;2018-01-31 08:00:05;89%;7:45;;;0;6973
2018-01-31 22:42:56;2018-02-01 07:54:15;99%;9:11;;;0;6053
2018-02-03 23:11:42;2018-02-04 07:04:28;88%;7:52;;;0;1843
2018-02-04 22:57:07;2018-02-05 07:01:10;93%;8:04;;;0;2622
2018-02-05 22:13:23;2018-02-06 06:18:16;88%;8:04;;;0;6591
2018-02-06 23:12:01;2018-02-07 07:35:34;95%;8:23;;;0;8127
2018-02-07 23:34:52;2018-02-08 08:13:22;96%;8:38;;;0;6033
2018-02-08 23:32:45;2018-02-09 08:11:20;96%;8:38;;;0;6055
2018-02-10 00:37:50;2018-02-10 08:32:19;92%;7:54;;;0;7746
2018-02-11 00:31:52;2018-02-11 08:49:07;92%;8:17;;;0;3559
2018-02-11 23:17:01;2018-02-12 07:53:56;93%;8:36;;;0;2364
2018-02-12 22:40:23;2018-02-13 07:25:19;95%;8:44;;;0;4680
2018-02-13 23:47:42;2018-02-14 08:06:44;96%;8:19;;;0;9669
2018-02-14 23:30:47;2018-02-15 07:26:46;92%;7:55;;;0;5365
2018-02-16 00:56:37;2018-02-16 09:00:17;82%;8:03;;;0;8137
2018-02-17 00:39:09;2018-02-17 01:07:13;6%;0:28;;;0;2839
2018-02-17 01:53:19;2018-02-17 08:50:39;75%;6:57;;;0;2925
2018-02-17 23:30:13;2018-02-18 07:47:55;95%;8:17;;;0;2211
2018-02-19 00:14:03;2018-02-19 07:57:34;85%;7:43;;;0;2472
2018-02-20 01:12:55;2018-02-20 07:49:12;73%;6:36;;;0;9900
2018-02-20 22:33:24;2018-02-21 07:27:43;97%;8:54;;;0;8426
2018-02-21 23:32:46;2018-02-22 08:10:37;93%;8:37;;;0;7362
2018-02-22 23:14:30;2018-02-23 07:01:59;89%;7:47;;;0;4620
2018-02-24 00:13:41;2018-02-24 08:03:15;91%;7:49;;;0;5876
2018-02-25 23:42:29;2018-02-26 08:03:13;94%;8:20;;;0;7790
2018-02-26 23:26:57;2018-02-27 07:37:03;95%;8:10;;;0;7699
2018-02-27 23:26:32;2018-02-28 07:35:56;89%;8:09;;;0;5123
2018-02-28 23:10:38;2018-03-01 07:12:59;83%;8:02;;;0;4812
2018-03-01 23:41:17;2018-03-02 07:56:44;90%;8:15;;;0;4250
2018-03-03 00:30:21;2018-03-03 07:58:20;81%;7:27;;;0;3215
2018-03-03 22:01:43;2018-03-04 08:32:00;97%;10:30;;;0;12108
2018-03-12 00:44:42;2018-03-12 08:57:47;91%;8:13;;;0;3931
